date,title,geo_lat,geo_lon,connecting_railway,operator,railway,station_code
2019-07-16 14:00:00+09:00,伊勢崎,36.32642,139.19495,1,Tobu,Tobu.Isesaki,TI-25
2019-04-25 16:00:00+09:00,京成津田沼,35.683657,140.024426,1,Keisei,Keisei.Main,KS26
2019-04-25 16:00:00+09:00,京成上野,35.718123,139.777882,1,Keisei,Keisei.Main,KS01
2019-04-25 16:00:00+09:00,京成臼井,35.729932,140.180737,0,Keisei,Keisei.Main,KS34
2019-04-25 16:00:00+09:00,京成八幡,35.723864,139.928058,1,Keisei,Keisei.Main,KS16
2019-04-25 16:00:00+09:00,国府台,35.736507,139.902403,0,Keisei,Keisei.Main,KS13
2019-04-25 16:00:00+09:00,公津の杜,35.760467,140.295157,0,Keisei,Keisei.Main,KS39
2018-07-27 16:00:00+09:00,東葉勝田台,,,1,ToyoRapid,ToyoRapid.ToyoRapid,TR09
2019-04-25 16:00:00+09:00,町屋,35.742341,139.781527,1,Keisei,Keisei.Main,KS04
2019-04-25 16:00:00+09:00,実籾,35.686958,140.068527,0,Keisei,Keisei.Main,KS28
2019-04-25 16:00:00+09:00,成田空港,35.765166,140.384531,1,Keisei,Keisei.Main,KS42
2019-04-25 16:00:00+09:00,空港第２ビル,35.771874,140.382936,1,Keisei,Keisei.Main,KS41
2019-04-25 16:00:00+09:00,日暮里,35.72818,139.771153,1,Keisei,Keisei.Main,KS02
2019-04-25 16:00:00+09:00,お花茶屋,35.747539,139.840253,0,Keisei,Keisei.Main,KS08
2018-08-31 15:00:00+09:00,高松,,,0,JR-Shikoku,JR-Shikoku.SetoOhashi,
2019-04-25 16:00:00+09:00,鬼越,35.720037,139.937201,0,Keisei,Keisei.Main,KS17
2019-04-25 16:00:00+09:00,大佐倉,35.729941,140.250751,0,Keisei,Keisei.Main,KS36
2019-04-25 16:00:00+09:00,千住大橋,35.742383,139.796762,0,Keisei,Keisei.Main,KS05
2019-04-25 16:00:00+09:00,新三河島,35.737193,139.773934,0,Keisei,Keisei.Main,KS03
2019-04-25 16:00:00+09:00,志津,35.718023,140.145309,0,Keisei,Keisei.Main,KS32
2019-04-25 16:00:00+09:00,宗吾参道,35.752384,140.280692,0,Keisei,Keisei.Main,KS38
2019-04-25 16:00:00+09:00,菅野,35.728221,139.919547,0,Keisei,Keisei.Main,KS15
2019-04-25 16:00:00+09:00,八千代台,35.701424,140.090858,0,Keisei,Keisei.Main,KS29
2019-04-25 16:00:00+09:00,谷津,35.685366,140.007483,0,Keisei,Keisei.Main,KS25
2019-04-25 16:00:00+09:00,ユーカリが丘,35.721787,140.1563,0,Keisei,Keisei.Main,KS33
2018-07-27 16:00:00+09:00,河口湖,,,0,Fujikyu,Fujikyu.Fujikyu,FJ18
2019-04-25 16:00:00+09:00,千葉ニュータウン中央,35.800158,140.116092,1,Keisei,Keisei.NaritaSkyAccess,
2019-04-25 16:00:00+09:00,東松戸,35.769889,139.942889,1,Keisei,Keisei.NaritaSkyAccess,
2019-04-25 16:00:00+09:00,印旛日本医大,35.787575,140.203344,1,Keisei,Keisei.NaritaSkyAccess,
2019-04-25 16:00:00+09:00,京成高砂,35.750863,139.86732,1,Keisei,Keisei.NaritaSkyAccess,KS10
2019-04-25 16:00:00+09:00,成田空港,35.765167,140.38453,1,Keisei,Keisei.NaritaSkyAccess,KS42
2019-04-25 16:00:00+09:00,空港第２ビル,35.771874,140.382936,1,Keisei,Keisei.NaritaSkyAccess,KS41
2019-04-25 16:00:00+09:00,成田湯川,35.799523,140.291219,0,Keisei,Keisei.NaritaSkyAccess,KS43
2018-07-30 17:00:00+09:00,伊豆高原,,,0,Izukyu,Izukyu.Izukyu,IZ06
2018-07-27 16:00:00+09:00,浦和美園,,,0,SaitamaRailway,SaitamaRailway.SaitamaRailway,SR26
2018-07-27 16:00:00+09:00,芝山千代田,,,0,Shibayama,Shibayama.Shibayama,SR01
2018-07-27 16:00:00+09:00,松戸,,,1,ShinKeisei,ShinKeisei.ShinKeisei,SL01
2019-04-25 16:00:00+09:00,新鎌ヶ谷,35.7796,139.998535,1,Keisei,Keisei.NaritaSkyAccess,
2019-04-25 16:00:00+09:00,青砥,35.746192,139.856656,1,Keisei,Keisei.Oshiage,KS09
2018-08-08 16:00:00+09:00,大洗,,,0,KashimaRinkai,KashimaRinkai.OaraiKashima,
2019-04-25 16:00:00+09:00,京成曳舟,35.71861,139.819275,0,Keisei,Keisei.Oshiage,KS46
2019-04-25 16:00:00+09:00,京成立石,35.738325,139.848596,0,Keisei,Keisei.Oshiage,KS49
2019-04-25 16:00:00+09:00,押上(スカイツリー前),35.711188,139.813995,1,Keisei,Keisei.Oshiage,KS45
2019-04-25 16:00:00+09:00,八広,35.727362,139.828474,0,Keisei,Keisei.Oshiage,KS47
2019-04-25 16:00:00+09:00,四ツ木,35.731779,139.834773,0,Keisei,Keisei.Oshiage,KS48
2019-07-16 14:00:00+09:00,福居,36.30521,139.45867,0,Tobu,Tobu.Isesaki,TI-13
2019-07-16 14:00:00+09:00,剛志,36.29542,139.22388,0,Tobu,Tobu.Isesaki,TI-23
2019-07-16 14:00:00+09:00,花崎,36.10994,139.63359,0,Tobu,Tobu.Isesaki,TI-04
2019-07-16 14:00:00+09:00,羽生,36.17007,139.53403,1,Tobu,Tobu.Isesaki,TI-07
2019-07-16 14:00:00+09:00,細谷,36.28297,139.34899,0,Tobu,Tobu.Isesaki,TI-19
2019-05-27 16:00:00+09:00,春日居町,35.67321,138.65881,0,JR-East,JR-East.Chuo,
2019-05-27 16:00:00+09:00,日野春,35.79041,138.3941,0,JR-East,JR-East.Chuo,
2019-07-16 14:00:00+09:00,川俣,36.20888,139.52651,0,Tobu,Tobu.Isesaki,TI-08
2019-07-16 14:00:00+09:00,加須,36.12295,139.59556,0,Tobu,Tobu.Isesaki,TI-05
2019-07-16 14:00:00+09:00,木崎,36.27139,139.313,0,Tobu,Tobu.Isesaki,TI-20
2019-07-16 14:00:00+09:00,久喜,36.06555,139.67761,1,Tobu,Tobu.Isesaki,TI-02
2019-07-16 14:00:00+09:00,南羽生,36.14962,139.55696,0,Tobu,Tobu.Isesaki,TI-06
2019-07-16 14:00:00+09:00,茂林寺前,36.22635,139.52705,0,Tobu,Tobu.Isesaki,TI-09
2019-07-16 14:00:00+09:00,韮川,36.30822,139.40251,0,Tobu,Tobu.Isesaki,TI-17
2019-07-16 14:00:00+09:00,太田,36.29421,139.37877,1,Tobu,Tobu.Isesaki,TI-18
