date,title,ascending_direction,descending_direction,line_code,operator
2019-05-27 16:00:00+09:00,鶴見線大川支線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JI,JR-East
2019-05-27 16:00:00+09:00,鶴見線海芝浦支線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JI,JR-East
2019-05-27 16:00:00+09:00,鶴見線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JI,JR-East
2019-05-27 16:00:00+09:00,内房線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,上野東京ライン,,,,JR-East
2019-05-27 16:00:00+09:00,羽越本線,,,,JR-East
2019-05-27 16:00:00+09:00,横須賀線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JO,JR-East
2019-05-27 16:00:00+09:00,宇都宮線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,JR-East
2019-05-27 16:00:00+09:00,弥彦線,,,,JR-East
2019-05-27 16:00:00+09:00,山田線,,,,JR-East
2019-05-27 16:00:00+09:00,山形新幹線,,,,JR-East
2019-05-27 16:00:00+09:00,山手線,odpt.RailDirection:OuterLoop,odpt.RailDirection:InnerLoop,JY,JR-East
2019-05-27 16:00:00+09:00,横浜線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,JH,JR-East
2019-05-27 16:00:00+09:00,米坂線,,,,JR-East
2019-07-16 14:00:00+09:00,東京さくらトラム（都電荒川線）,odpt.RailDirection:Toei.Waseda,odpt.RailDirection:Toei.Minowabashi,SA,Toei
2019-07-16 14:00:00+09:00,浅草線,odpt.RailDirection:Northbound,odpt.RailDirection:Southbound,A,Toei
2019-07-16 14:00:00+09:00,三田線,odpt.RailDirection:Northbound,odpt.RailDirection:Southbound,I,Toei
2019-07-16 14:00:00+09:00,日暮里・舎人ライナー,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,NT,Toei
2019-07-16 14:00:00+09:00,大江戸線,odpt.RailDirection:OuterLoop,odpt.RailDirection:InnerLoop,E,Toei
2019-07-16 14:00:00+09:00,新宿線,odpt.RailDirection:Eastbound,odpt.RailDirection:Westbound,S,Toei
2019-07-16 14:00:00+09:00,千代田線,odpt.RailDirection:TokyoMetro.KitaAyase,odpt.RailDirection:TokyoMetro.YoyogiUehara,C,TokyoMetro
2019-07-16 14:00:00+09:00,副都心線,odpt.RailDirection:TokyoMetro.Shibuya,odpt.RailDirection:TokyoMetro.Wakoshi,F,TokyoMetro
2019-07-16 14:00:00+09:00,銀座線,odpt.RailDirection:TokyoMetro.Asakusa,odpt.RailDirection:TokyoMetro.Shibuya,G,TokyoMetro
2019-07-16 14:00:00+09:00,半蔵門線,odpt.RailDirection:TokyoMetro.Oshiage,odpt.RailDirection:TokyoMetro.Shibuya,Z,TokyoMetro
2019-07-16 14:00:00+09:00,日比谷線,odpt.RailDirection:TokyoMetro.KitaSenju,odpt.RailDirection:TokyoMetro.NakaMeguro,H,TokyoMetro
2019-07-16 14:00:00+09:00,丸ノ内線支線,odpt.RailDirection:TokyoMetro.NakanoSakaue,odpt.RailDirection:TokyoMetro.Honancho,Mb,TokyoMetro
2019-07-16 14:00:00+09:00,丸ノ内線,odpt.RailDirection:TokyoMetro.Ikebukuro,odpt.RailDirection:TokyoMetro.Ogikubo,M,TokyoMetro
2019-07-16 14:00:00+09:00,南北線,odpt.RailDirection:TokyoMetro.AkabaneIwabuchi,odpt.RailDirection:TokyoMetro.Meguro,N,TokyoMetro
2019-07-16 14:00:00+09:00,東西線,odpt.RailDirection:TokyoMetro.NishiFunabashi,odpt.RailDirection:TokyoMetro.Nakano,T,TokyoMetro
2019-07-16 14:00:00+09:00,有楽町線,odpt.RailDirection:TokyoMetro.ShinKiba,odpt.RailDirection:TokyoMetro.Wakoshi,Y,TokyoMetro
2019-07-16 14:00:00+09:00,空港線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KK,Keikyu
2019-07-16 14:00:00+09:00,大師線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KK,Keikyu
2019-07-16 14:00:00+09:00,久里浜線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KK,Keikyu
2019-07-16 14:00:00+09:00,京急本線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KK,Keikyu
2019-07-16 14:00:00+09:00,逗子線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KK,Keikyu
2019-07-16 14:00:00+09:00,動物園線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KO,Keio
2019-07-16 14:00:00+09:00,井の頭線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,IN,Keio
2019-07-16 14:00:00+09:00,競馬場線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KO,Keio
2019-07-16 14:00:00+09:00,京王新線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KO,Keio
2019-07-16 14:00:00+09:00,京王線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KO,Keio
2019-07-16 14:00:00+09:00,相模原線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KO,Keio
